1563127200;225;100;0;0;225;550;0;0;225;150;STARTING
1563127201;225;160;0;0;225;550;0;0;225;190;PLAYING
1563127202;230;150;0;0;230;547;0;0;255;450;PLAYING
1563127203;235;140;0;0;235;544;0;0;285;500;PLAYING
1563127204;240;130;0;0;240;541;0;0;315;510;PLAYING
1563127205;245;120;0;0;245;538;0;0;345;520;PLAYING
1563127206;250;110;0;0;250;535;0;0;375;530;PLAYING
1563127207;255;100;0;0;255;532;0;0;405;540;PLAYING
1563127208;260;90;0;0;260;529;0;0;435;550;PLAYING
1563127209;265;80;0;0;265;535;0;0;450;560;PLAYING
1563127210;270;95;0;0;270;541;0;0;435;570;PLAYING
1563127211;275;110;0;0;275;547;0;0;405;580;PLAYING
1563127212;280;125;0;0;280;553;0;0;375;590;PLAYING
1563127213;285;140;0;0;285;559;0;0;345;600;PLAYING
1563127214;290;155;0;0;290;565;0;0;315;610;PLAYING
1563127215;295;170;0;0;295;571;0;0;285;620;PLAYING
1563127216;300;185;0;0;300;577;0;0;265;630;PLAYING
1563127217;305;200;0;0;305;583;0;0;245;640;PLAYING
1563127218;225;215;1;0;225;550;0;0;225;650;PUCK
1563127219;235;230;1;0;235;530;0;0;255;640;PLAYING
1563127220;245;245;1;0;245;527;0;0;285;630;PLAYING
1563127221;255;260;1;0;255;547;0;0;315;620;PLAYING
1563127222;265;275;1;0;265;544;0;0;345;610;PLAYING
1563127223;275;290;1;0;275;541;0;0;375;600;PLAYING
1563127224;285;280;1;0;285;538;0;0;405;590;PLAYING
1563127225;295;270;1;0;295;535;0;0;435;580;PLAYING
1563127226;305;260;1;0;305;532;0;0;450;570;PLAYING
1563127227;315;250;1;0;315;529;0;0;435;560;PLAYING
1563127228;325;240;1;0;325;535;0;0;405;550;PLAYING
1563127229;335;230;1;0;335;541;0;0;375;540;PLAYING
1563127230;345;220;1;0;345;547;0;0;345;530;PLAYING
1563127231;355;210;1;0;355;553;0;0;315;520;PLAYING
1563127232;365;200;1;0;365;559;0;0;285;510;PLAYING
1563127233;375;190;1;0;375;565;0;0;255;500;PLAYING
1563127234;385;180;1;0;385;571;0;0;225;490;PLAYING
1563127235;350;170;1;0;350;577;0;0;195;480;PLAYING
1563127236;315;160;1;0;315;583;0;0;165;470;PLAYING
1563127237;280;150;1;0;280;550;0;0;135;460;PLAYING
1563127238;245;140;1;0;245;530;0;0;105;450;PLAYING
1563127239;210;130;1;0;210;527;0;0;75;440;PLAYING
1563127240;175;120;1;0;175;547;0;0;45;430;PLAYING
1563127241;140;110;1;0;140;544;0;0;15;420;PLAYING
1563127242;105;100;1;0;105;541;0;0;0;410;PLAYING
1563127243;70;90;1;0;70;538;0;0;15;400;PLAYING
1563127244;35;80;1;0;35;535;0;0;45;390;PLAYING
1563127245;0;70;1;0;0;532;0;0;75;380;PLAYING
1563127246;35;60;1;0;35;529;0;0;105;370;PLAYING
1563127247;70;50;1;0;70;535;0;0;135;360;PLAYING
1563127248;105;40;1;0;105;541;0;0;165;350;PLAYING
1563127249;140;30;1;0;140;547;0;0;195;340;PLAYING
1563127250;175;20;1;0;175;553;0;0;225;330;PLAYING
1563127251;210;10;1;0;210;559;0;0;255;320;PLAYING
1563127252;245;15;1;0;245;565;0;0;285;310;PLAYING
1563127253;280;20;1;0;280;571;0;0;315;300;PLAYING
1563127254;315;25;1;0;315;577;0;0;345;290;PLAYING
1563127255;350;30;1;0;350;583;0;0;375;280;PLAYING
1563127256;325;35;1;0;325;550;0;0;405;270;PLAYING
1563127257;300;40;1;0;300;530;0;0;435;260;PLAYING
1563127258;275;45;1;0;275;527;0;0;450;250;PLAYING
1563127259;250;50;1;0;250;547;0;0;435;240;PLAYING
1563127260;225;55;1;0;225;544;0;0;405;230;PLAYING
1563127261;200;60;1;0;200;541;0;0;375;220;PLAYING
1563127262;175;65;1;0;175;538;0;0;345;210;PLAYING
1563127263;150;70;1;0;150;535;0;0;315;200;PLAYING
1563127264;125;75;1;0;125;532;0;0;285;190;PLAYING
